=== 4.2: integrate(cos, 0, π/2), n_iter=10_000_000 ===
n_jobs | ThreadPool (с) | ProcessPool (с)
------------------------------------------
     1 |           0.389 |           0.396
     2 |           0.454 |           0.238
     3 |           0.421 |           0.207
     4 |           0.403 |           0.121
     5 |           0.400 |           0.121
     6 |           0.402 |           0.102
     7 |           0.403 |           0.116
     8 |           0.413 |           0.087
     9 |           0.409 |           0.092
    10 |           0.408 |           0.082
    11 |           0.410 |           0.079
    12 |           0.406 |           0.083
    13 |           0.401 |           0.074
    14 |           0.404 |           0.071
    15 |           0.403 |           0.074
    16 |           0.402 |           0.071
    17 |           0.402 |           0.080
    18 |           0.403 |           0.086
    19 |           0.401 |           0.082
    20 |           0.401 |           0.081
    21 |           0.400 |           0.080
    22 |           0.421 |           0.083
    23 |           0.415 |           0.082
    24 |           0.400 |           0.083
    25 |           0.406 |           0.083
    26 |           0.403 |           0.087
    27 |           0.408 |           0.082
    28 |           0.402 |           0.085
    29 |           0.403 |           0.083
    30 |           0.398 |           0.083
    31 |           0.408 |           0.082
    32 |           0.402 |           0.087

Вывод: ProcessPool эффективнее при росте n_jobs (CPU-bound задача).
